,chapter,dt,author,replica,replica_full,replica_len
0,Властелин колец: братство кольца,00:00:30,Галадриэль,"Я чувствую это в воде, чувствую в земле, ощущаю в воздухе","Мир изменился. Я чувствую это в воде, чувствую в земле, ощущаю в воздухе. Многое из того, что было - ушло. И не осталось тех, кто помнит об этом. Всё началось с отливки великих колец. Три были переданы эльфам - бессмертным созданиям, самым мудрым и справедливым из всех живущих. Семь отданы повелителям гномов - великим добытчикам самоцветов и мастеровым горных пещер. А девять... девять колец были переданы человеческому роду, который превыше всего жаждал власти. В этих кольцах была заключена сила власти над каждым из народов. Но все они оказались обмануты, потому что было сделано ещё одно кольцо. В стране Мордор в огне Роковой Горы тёмный властелин Саурон тайно создал Единое Кольцо, подчинявшее себе все другие. И в это кольцо он вложил всю жестокость, всю злобу и всю жажду власти над всем живущим. Одно кольцо, способное править всеми""..",11
1,Властелин колец: братство кольца,00:00:30,Галадриэль,"Многое из того, что было - ушло","Мир изменился. Я чувствую это в воде, чувствую в земле, ощущаю в воздухе. Многое из того, что было - ушло. И не осталось тех, кто помнит об этом. Всё началось с отливки великих колец. Три были переданы эльфам - бессмертным созданиям, самым мудрым и справедливым из всех живущих. Семь отданы повелителям гномов - великим добытчикам самоцветов и мастеровым горных пещер. А девять... девять колец были переданы человеческому роду, который превыше всего жаждал власти. В этих кольцах была заключена сила власти над каждым из народов. Но все они оказались обмануты, потому что было сделано ещё одно кольцо. В стране Мордор в огне Роковой Горы тёмный властелин Саурон тайно создал Единое Кольцо, подчинявшее себе все другие. И в это кольцо он вложил всю жестокость, всю злобу и всю жажду власти над всем живущим. Одно кольцо, способное править всеми""..",7
2,Властелин колец: братство кольца,00:00:30,Галадриэль,"И не осталось тех, кто помнит об этом","Мир изменился. Я чувствую это в воде, чувствую в земле, ощущаю в воздухе. Многое из того, что было - ушло. И не осталось тех, кто помнит об этом. Всё началось с отливки великих колец. Три были переданы эльфам - бессмертным созданиям, самым мудрым и справедливым из всех живущих. Семь отданы повелителям гномов - великим добытчикам самоцветов и мастеровым горных пещер. А девять... девять колец были переданы человеческому роду, который превыше всего жаждал власти. В этих кольцах была заключена сила власти над каждым из народов. Но все они оказались обмануты, потому что было сделано ещё одно кольцо. В стране Мордор в огне Роковой Горы тёмный властелин Саурон тайно создал Единое Кольцо, подчинявшее себе все другие. И в это кольцо он вложил всю жестокость, всю злобу и всю жажду власти над всем живущим. Одно кольцо, способное править всеми""..",8
3,Властелин колец: братство кольца,00:00:30,Галадриэль,Всё началось с отливки великих колец,"Мир изменился. Я чувствую это в воде, чувствую в земле, ощущаю в воздухе. Многое из того, что было - ушло. И не осталось тех, кто помнит об этом. Всё началось с отливки великих колец. Три были переданы эльфам - бессмертным созданиям, самым мудрым и справедливым из всех живущих. Семь отданы повелителям гномов - великим добытчикам самоцветов и мастеровым горных пещер. А девять... девять колец были переданы человеческому роду, который превыше всего жаждал власти. В этих кольцах была заключена сила власти над каждым из народов. Но все они оказались обмануты, потому что было сделано ещё одно кольцо. В стране Мордор в огне Роковой Горы тёмный властелин Саурон тайно создал Единое Кольцо, подчинявшее себе все другие. И в это кольцо он вложил всю жестокость, всю злобу и всю жажду власти над всем живущим. Одно кольцо, способное править всеми""..",6
4,Властелин колец: братство кольца,00:00:30,Галадриэль,"Три были переданы эльфам - бессмертным созданиям, самым мудрым и справедливым из всех живущих","Мир изменился. Я чувствую это в воде, чувствую в земле, ощущаю в воздухе. Многое из того, что было - ушло. И не осталось тех, кто помнит об этом. Всё началось с отливки великих колец. Три были переданы эльфам - бессмертным созданиям, самым мудрым и справедливым из всех живущих. Семь отданы повелителям гномов - великим добытчикам самоцветов и мастеровым горных пещер. А девять... девять колец были переданы человеческому роду, который превыше всего жаждал власти. В этих кольцах была заключена сила власти над каждым из народов. Но все они оказались обмануты, потому что было сделано ещё одно кольцо. В стране Мордор в огне Роковой Горы тёмный властелин Саурон тайно создал Единое Кольцо, подчинявшее себе все другие. И в это кольцо он вложил всю жестокость, всю злобу и всю жажду власти над всем живущим. Одно кольцо, способное править всеми""..",14
5,Властелин колец: братство кольца,00:00:30,Галадриэль,Семь отданы повелителям гномов - великим добытчикам самоцветов и мастеровым горных пещер,"Мир изменился. Я чувствую это в воде, чувствую в земле, ощущаю в воздухе. Многое из того, что было - ушло. И не осталось тех, кто помнит об этом. Всё началось с отливки великих колец. Три были переданы эльфам - бессмертным созданиям, самым мудрым и справедливым из всех живущих. Семь отданы повелителям гномов - великим добытчикам самоцветов и мастеровым горных пещер. А девять... девять колец были переданы человеческому роду, который превыше всего жаждал власти. В этих кольцах была заключена сила власти над каждым из народов. Но все они оказались обмануты, потому что было сделано ещё одно кольцо. В стране Мордор в огне Роковой Горы тёмный властелин Саурон тайно создал Единое Кольцо, подчинявшее себе все другие. И в это кольцо он вложил всю жестокость, всю злобу и всю жажду власти над всем живущим. Одно кольцо, способное править всеми""..",12
6,Властелин колец: братство кольца,00:00:30,Галадриэль,"девять колец были переданы человеческому роду, который превыше всего жаждал власти","Мир изменился. Я чувствую это в воде, чувствую в земле, ощущаю в воздухе. Многое из того, что было - ушло. И не осталось тех, кто помнит об этом. Всё началось с отливки великих колец. Три были переданы эльфам - бессмертным созданиям, самым мудрым и справедливым из всех живущих. Семь отданы повелителям гномов - великим добытчикам самоцветов и мастеровым горных пещер. А девять... девять колец были переданы человеческому роду, который превыше всего жаждал власти. В этих кольцах была заключена сила власти над каждым из народов. Но все они оказались обмануты, потому что было сделано ещё одно кольцо. В стране Мордор в огне Роковой Горы тёмный властелин Саурон тайно создал Единое Кольцо, подчинявшее себе все другие. И в это кольцо он вложил всю жестокость, всю злобу и всю жажду власти над всем живущим. Одно кольцо, способное править всеми""..",11
7,Властелин колец: братство кольца,00:00:30,Галадриэль,В этих кольцах была заключена сила власти над каждым из народов,"Мир изменился. Я чувствую это в воде, чувствую в земле, ощущаю в воздухе. Многое из того, что было - ушло. И не осталось тех, кто помнит об этом. Всё началось с отливки великих колец. Три были переданы эльфам - бессмертным созданиям, самым мудрым и справедливым из всех живущих. Семь отданы повелителям гномов - великим добытчикам самоцветов и мастеровым горных пещер. А девять... девять колец были переданы человеческому роду, который превыше всего жаждал власти. В этих кольцах была заключена сила власти над каждым из народов. Но все они оказались обмануты, потому что было сделано ещё одно кольцо. В стране Мордор в огне Роковой Горы тёмный властелин Саурон тайно создал Единое Кольцо, подчинявшее себе все другие. И в это кольцо он вложил всю жестокость, всю злобу и всю жажду власти над всем живущим. Одно кольцо, способное править всеми""..",11
8,Властелин колец: братство кольца,00:00:30,Галадриэль,"Но все они оказались обмануты, потому что было сделано ещё одно кольцо","Мир изменился. Я чувствую это в воде, чувствую в земле, ощущаю в воздухе. Многое из того, что было - ушло. И не осталось тех, кто помнит об этом. Всё началось с отливки великих колец. Три были переданы эльфам - бессмертным созданиям, самым мудрым и справедливым из всех живущих. Семь отданы повелителям гномов - великим добытчикам самоцветов и мастеровым горных пещер. А девять... девять колец были переданы человеческому роду, который превыше всего жаждал власти. В этих кольцах была заключена сила власти над каждым из народов. Но все они оказались обмануты, потому что было сделано ещё одно кольцо. В стране Мордор в огне Роковой Горы тёмный властелин Саурон тайно создал Единое Кольцо, подчинявшее себе все другие. И в это кольцо он вложил всю жестокость, всю злобу и всю жажду власти над всем живущим. Одно кольцо, способное править всеми""..",12
9,Властелин колец: братство кольца,00:00:30,Галадриэль,"В стране Мордор в огне Роковой Горы тёмный властелин Саурон тайно создал Единое Кольцо, подчинявшее себе все другие","Мир изменился. Я чувствую это в воде, чувствую в земле, ощущаю в воздухе. Многое из того, что было - ушло. И не осталось тех, кто помнит об этом. Всё началось с отливки великих колец. Три были переданы эльфам - бессмертным созданиям, самым мудрым и справедливым из всех живущих. Семь отданы повелителям гномов - великим добытчикам самоцветов и мастеровым горных пещер. А девять... девять колец были переданы человеческому роду, который превыше всего жаждал власти. В этих кольцах была заключена сила власти над каждым из народов. Но все они оказались обмануты, потому что было сделано ещё одно кольцо. В стране Мордор в огне Роковой Горы тёмный властелин Саурон тайно создал Единое Кольцо, подчинявшее себе все другие. И в это кольцо он вложил всю жестокость, всю злобу и всю жажду власти над всем живущим. Одно кольцо, способное править всеми""..",18
